brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,expected_range_km
Fiat,500e Hatchback 24 kWh,135,21.3,108,220,112,9,40,0,185,4,FWD,B - Compact,Hatchback,190
Fiat,500e Hatchback 42 kWh,150,37.3,192,220,118,9,67,0,185,4,FWD,B - Compact,Hatchback,316
Fiat,600e,150,50.8,102,260,124,9,79,0,360,5,FWD,JB - Compact,SUV,410
Fiat,Grande Panda,132,43.8,0,122,136,11,60,550,361,5,FWD,B - Compact,Hatchback,322
Ford,Capri Extended Range AWD,180,79,288,679,148,5.3,135,1200,572,5,AWD,D - Large,Liftback Sedan,534
Ford,Capri Extended Range RWD,180,77,288,545,135,6.4,120,1000,572,5,RWD,D - Large,Liftback Sedan,570
Ford,Capri Standard Range RWD,160,52,192,310,163,9,85,1000,572,5,RWD,D - Large,Liftback Sedan,319
Ford,Explorer Extended Range AWD,180,79,288,679,153,5.3,135,1200,536,5,AWD,JC - Medium,SUV,516
Ford,Explorer Extended Range RWD,180,77,288,545,139,6.4,120,1000,536,5,RWD,JC - Medium,SUV,554
Ford,Explorer Standard Range RWD,160,52,192,310,137,8.7,85,1000,536,5,RWD,JC - Medium,SUV,380
Ford,Mustang Mach-E ER AWD (MY25),180,88,0,675,160,4.8,105,1500,519,5,AWD,JD - Large,SUV,550
Ford,Mustang Mach-E ER AWD (MY24),180,91,376,675,165,4.6,115,1500,519,5,AWD,JD - Large,SUV,552
Ford,Mustang Mach-E ER RWD (MY25),180,88,0,525,147,6.1,105,1500,519,5,RWD,JD - Large,SUV,599
Ford,Mustang Mach-E ER RWD (MY24),180,91,376,525,152,5.9,115,1500,519,5,RWD,JD - Large,SUV,599
Ford,Mustang Mach-E GT (MY24),200,91,376,950,177,3.8,115,750,519,5,AWD,JD - Large,SUV,514
Ford,Mustang Mach-E GT (MY25),200,91,376,950,177,3.8,115,750,519,5,AWD,JD - Large,SUV,514
Ford,Mustang Mach-E Rally (MY25),200,91,376,950,178,3.9,115,750,519,5,AWD,JD - Large,SUV,511
Ford,Mustang Mach-E Rally (MY24),200,91,376,950,178,3.9,115,750,519,5,AWD,JD - Large,SUV,511
Ford,Mustang Mach-E SR RWD (MY24),180,72.6,0,525,154,6.2,100,750,519,5,RWD,JD - Large,SUV,471
Ford,Mustang Mach-E SR RWD (MY25),180,72.6,0,525,154,6.2,100,750,519,5,RWD,JD - Large,SUV,471
Ford,Puma Gen-E,160,43.6,0,290,126,8,85,750,523,5,FWD,JB - Compact,SUV,346
Ford,e-Tourneo Courier,145,43.6,0,290,164,11,80,750,0,5,FWD,N - Passenger Van,Small Passenger Van,266
Ford,e-Tourneo Custom L1 160 kW,130,64,0,415,370,9,70,2000,672,8,RWD,N - Passenger Van,Small Passenger Van,173
Ford,e-Tourneo Custom L1 210 kW,130,64,0,415,370,8,70,2000,672,8,RWD,N - Passenger Van,Small Passenger Van,173
